Low Tension Tariffs for Electricity ,,,,,,,,,,,,,
,,,,,,,,,,,,Units: cents/kWh,
,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Jan,18.46,15.02,15.24,15.44,16.73,21.02,20.02,22.62,22.93,22.87,24.10,27.59,26.28
Feb,19.87,15.02,15.24,15.44,16.73,21.02,20.02,22.62,22.93,22.87,24.10,27.59,26.28
Mar,19.87,15.02,15.24,15.44,16.73,21.02,20.02,22.62,22.93,22.87,24.10,27.59,26.28
Apr,19.87,15.02,17.81,15.80,16.06,20.49,18.88,23.88,18.03,23.56,25.58,28.78,26.70
May,17.21,15.02,15.85,15.80,16.06,20.49,18.88,23.88,18.03,23.56,25.58,28.78,26.70
Jun,17.21,15.02,15.85,15.80,16.06,20.49,18.88,23.88,18.03,23.56,25.58,28.78,26.70
Jul,17.21,16.01,16.56,16.35,18.26,21.15,20.52,25.07,19.28,24.13,27.28,28.08,25.95
Aug,17.21,16.01,16.56,16.35,18.26,21.15,20.52,25.07,19.28,24.13,27.28,28.08,25.95
Sep,17.21,16.01,16.56,16.35,18.26,21.15,20.52,25.07,19.28,24.13,27.28,28.08,25.95
Oct,17.21,16.51,15.81,16.53,19.57,21.64,21.38,30.45,21.69,23.34,26.98,27.27,
Nov,16.46,16.51,15.27,16.53,19.57,21.64,21.38,30.45,21.69,23.34,26.98,27.27,
Dec,16.46,16.51,15.27,16.53,19.57,21.64,21.38,30.45,21.69,23.34,26.98,27.27,
,,,,,,,,,,,,,
Annual Average,17.85,15.64,15.94,16.03,17.66,21.08,20.20,25.51,20.48,23.48,25.99,27.93,26.31
,,,,,,,,,,,,,
,,,,,,,Source: Energy Market Authority (EMA),,,,,,